Link,Data,Hora,Liga,Rodada,Home,Away,H_gols_ft,A_gols_ft,H_gols_ht,A_gols_ht,H_posse,A_posse,H_xg,A_xg,H_chutes,A_chutes,H_chutes_alvo,A_chutes_alvo,H_escanteios,A_escanteios,H_faltas,A_faltas,H_amarelos,A_amarelos,H_vermelhos,A_vermelhos,H_ataques,A_ataques,H_ataques_perigosos,A_ataques_perigosos,H_defesas_goleiro,A_defesas_goleiro,H_passes,A_passes,H_acerto_passe,A_acerto_passe,H_passes_decisivos,A_passes_decisivos,H_cruzamentos,A_cruzamentos,H_dribles,A_dribles,H1_chutes_alvo,A1_chutes_alvo,H1_ataques,A1_ataques,H1_ataques_perigosos,A1_ataques_perigosos,H2_chutes_alvo,A2_chutes_alvo,H2_ataques,A2_ataques,H2_ataques_perigosos,A2_ataques_perigosos,Odd_h_open,Odd_d_open,Odd_a_open,Odd_h_close,Odd_d_close,Odd_a_close
https://redscores.com/match/nurnberg-eintracht-braunschweig/UHxN7#1428970,2024-12-21,16:30,2. Bundesliga,Rodada 17,Nürnberg,Eintracht Braunschweig,1,0,1,0,57.0,43.0,2.01,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/schalke-04-hannover-96/dAx2U#1710936,2026-03-15,09:30,2. Bundesliga,Rodada 26,Schalke 04,Hannover 96,2,2,2,2,36.0,64.0,1.3,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/darmstadt-98-vfl-bochum-1848/4DxLi#1710867,2026-01-18,09:30,2. Bundesliga,Rodada 18,VfL Bochum 1848,Darmstadt 98,3,3,3,3,57.0,43.0,2.58,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/hannover-96-hertha-bsc/2UxL3#1710891,2026-02-14,09:00,2. Bundesliga,Rodada 22,Hertha BSC,Hannover 96,2,3,2,3,55.0,45.0,2.15,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/schalke-04-magdeburg/dAxZ6#1710887,2026-02-21,16:30,2. Bundesliga,Rodada 23,Schalke 04,Magdeburg,5,3,5,3,48.0,52.0,2.88,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/kaiserslautern-hannover-96/1nx2U#1710692,2026-01-18,09:30,2. Bundesliga,Rodada 18,Kaiserslautern,Hannover 96,3,1,3,1,49.0,51.0,2.19,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/schalke-04-paderborn/dAxJV#1710777,2026-04-26,08:30,2. Bundesliga,Rodada 31,Paderborn,Schalke 04,2,3,2,3,45.0,55.0,1.22,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/ulm-paderborn/kGxJV#1457751,2025-02-08,09:00,2. Bundesliga,Rodada 21,Ulm,Paderborn,0,2,0,2,48.0,52.0,0.71,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/darmstadt-98-nurnberg/4DxUH#1710858,2026-01-23,14:30,2. Bundesliga,Rodada 19,Darmstadt 98,Nürnberg,2,0,2,0,49.0,51.0,1.23,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/fortuna-dusseldorf-karlsruher-sc/4IxB0#1429113,2025-01-25,09:00,2. Bundesliga,Rodada 19,Karlsruher SC,Fortuna Düsseldorf,2,3,2,3,34.0,66.0,0.7,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/kaiserslautern-holstein-kiel/1nxg8#1710949,2026-04-17,13:30,2. Bundesliga,Rodada 30,Holstein Kiel,Kaiserslautern,3,0,3,0,52.0,48.0,1.52,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/schalke-04-darmstadt-98/dAx4D#1710940,2026-03-21,16:30,2. Bundesliga,Rodada 27,Darmstadt 98,Schalke 04,1,1,1,1,61.0,39.0,0.95,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/ulm-hannover-96/kGx2U#1429001,2025-05-03,08:00,2. Bundesliga,Rodada 32,Ulm,Hannover 96,1,2,1,2,55.0,45.0,2.91,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/dsc-arminia-bielefeld-magdeburg/9yxZ6#1710890,2026-02-15,09:30,2. Bundesliga,Rodada 22,Magdeburg,DSC Arminia Bielefeld,0,2,0,2,60.0,40.0,1.93,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/vfl-bochum-1848-elversberg/LixZ7#1710869,2026-01-25,09:30,2. Bundesliga,Rodada 19,Elversberg,VfL Bochum 1848,1,1,1,1,63.0,37.0,1.71,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
