Match_ID,Campeonato,Rodada,Home,Away,Score_Home,Score_Away,Data,Hora,H_Gols_HT,A_Gols_HT
EP7RxuMs,BRASIL: Brasileirão Betano,RODADA 22,Vitória,Atlético-MG,1,0,,,,
tbCXK60d,BRASIL: Brasileirão Betano,RODADA 22,Flamengo,Grêmio,1,1,,,,
zJKaOu7l,BRASIL: Brasileirão Betano,RODADA 22,Santos,Fluminense,0,0,,,,
2ov9Kc6D,BRASIL: Brasileirão Betano,RODADA 22,Cruzeiro,São Paulo,1,0,,,,
844JrAh3,BRASIL: Brasileirão Betano,RODADA 22,Botafogo,Red Bull Bragantino,4,1,,,,
8O0zyJjf,BRASIL: Brasileirão Betano,RODADA 22,Ceará,Juventude,0,1,,,,
hfP8ejXp,BRASIL: Brasileirão Betano,RODADA 21,Flamengo,Vitória,8,0,,,,
tG53HXg4,BRASIL: Brasileirão Betano,RODADA 21,Palmeiras,Sport,3,0,,,,
lt9BFBOG,BRASIL: Brasileirão Betano,RODADA 21,São Paulo,Atlético-MG,2,0,,,,
4IIgSl8M,BRASIL: Brasileirão Betano,RODADA 21,Fortaleza,Mirassol,0,1,,,,
KrOOMSVq,BRASIL: Brasileirão Betano,RODADA 21,Juventude,Botafogo,1,3,,,,
8jPpUAwA,BRASIL: Brasileirão Betano,RODADA 21,Bahia,Santos,2,0,,,,
plCfJgPi,BRASIL: Brasileirão Betano,RODADA 21,Vasco,Corinthians,2,3,,,,
zwRxWW8c,BRASIL: Brasileirão Betano,RODADA 21,Grêmio,Ceará,0,0,,,,
KUrj8TGj,BRASIL: Brasileirão Betano,RODADA 21,Cruzeiro,Internacional,2,1,,,,
AecKDkgT,BRASIL: Brasileirão Betano,RODADA 21,Red Bull Bragantino,Fluminense,4,2,,,,
2c0hZm2N,BRASIL: Brasileirão Betano,RODADA 14,Juventude,Vasco,2,0,,,,
x8r3lZPH,BRASIL: Brasileirão Betano,RODADA 20,Mirassol,Cruzeiro,1,1,,,,
C0cwfwdt,BRASIL: Brasileirão Betano,RODADA 20,Botafogo,Palmeiras,0,1,,,,
bXmD6Gun,BRASIL: Brasileirão Betano,RODADA 20,Internacional,Flamengo,1,3,,,,
ALtBnDfU,BRASIL: Brasileirão Betano,RODADA 20,"Atlético-MG
2","Grêmio
2",1,3,,,,
ttkfjee5,BRASIL: Brasileirão Betano,RODADA 20,Santos,Vasco,0,6,,,,
YFonhHQh,BRASIL: Brasileirão Betano,RODADA 20,Corinthians,Bahia,1,2,,,,
zwqx1C9N,BRASIL: Brasileirão Betano,RODADA 20,Sport,São Paulo,2,2,,,,
