id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
v5TJDuvq,SCOTLAND,Premiership 2025-2026,SCOTLAND 1,2025,FINAL,21/05/2026,16:00,Partick,St. Mirren,,,,,,,2.6,3.15,2.6,3.1,2.14,3.1,1.27,3.6,1.87,1.88,3.05,1.34,1.65,2.07,1.41,1.31,1.41
WEYfZWmn,GREECE,Super League 2025-2026,GREECE 1,2025,RODADA 10,21/05/2026,12:00,Atromitos,Panserraikos,,,,,,,1.68,3.2,4.5,2.25,2.05,5.33,1.36,2.88,2.25,1.57,4.0,1.2,2.1,1.66,1.15,1.25,1.8
4SW2XAIb,GREECE,Super League 2025-2026,GREECE 1,2025,RODADA 10,21/05/2026,13:00,Kifisia,AEL Larissa,,,,,,,1.95,3.1,3.4,2.6,2.05,4.0,1.39,2.8,2.11,1.67,3.8,1.23,1.9,1.8,1.23,1.28,1.58
xfpAVlmB,GREECE,Super League 2025-2026,GREECE 1,2025,RODADA 10,21/05/2026,13:00,Panetolikos,Asteras T.,,,,,,,2.35,3.02,2.88,2.99,2.03,3.6,1.31,2.95,1.97,1.68,3.3,1.25,1.89,1.76,1.32,1.29,1.46
2FJzbEb5,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,21/05/2026,15:00,Al Hazem,Al-Taawon,,,,,,,3.65,3.75,1.95,4.0,2.22,2.57,1.2,4.0,1.65,2.1,2.88,1.36,1.67,2.12,1.88,1.26,1.31
jkVjfWcU,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,21/05/2026,15:00,Al Nassr Riyadh,Damac,,,,,,,1.11,6.33,16.0,1.48,3.0,11.0,1.1,5.75,1.36,2.9,1.83,1.79,2.05,1.7,1.01,1.05,3.8
6150EZrn,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,21/05/2026,15:00,Al-Fayha,Al-Hilal,,,,,,,10.0,5.75,1.18,9.0,2.9,1.55,1.11,5.5,1.44,2.6,2.2,1.6,1.95,1.75,3.14,1.07,1.05
W8jQ8VCN,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,21/05/2026,15:00,Al-Ittihad,Al-Qadsiah,,,,,,,2.08,3.5,2.83,2.5,2.5,3.33,1.08,6.5,1.36,2.88,2.0,1.73,1.4,2.71,1.32,1.25,1.55
t0VRazUh,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,21/05/2026,15:00,Al-Kholood,Al-Fateh,,,,,,,2.35,3.77,2.5,2.79,2.24,2.98,1.11,5.5,1.5,2.4,2.25,1.57,1.47,2.43,1.43,1.2,1.49
Ag2HAirB,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,21/05/2026,15:00,Al-Riyadh,Al Okhdood,,,,,,,1.67,3.63,4.09,1.99,2.39,5.31,1.2,4.0,1.65,2.1,2.75,1.4,1.71,1.94,1.18,1.21,1.83
trxd39zo,SAUDI ARABIA,Pro League 2025-2026,SAUDI ARABIA 1,2025,RODADA 34,21/05/2026,15:00,Neom SC,Al-Ettifaq,,,,,,,1.81,4.2,3.5,2.33,2.5,3.8,1.11,5.5,1.5,2.4,2.25,1.57,1.52,2.4,1.27,1.22,1.83
