id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
M7ZiTd0s,VENEZUELA,Liga FUTVE 2026,VENEZUELA 1,2026,RODADA 5,24/05/2026,18:00,Carabobo,Dep. Tachira,,,,,,,2.1,3.1,3.2,2.75,2.0,3.75,1.35,2.7,2.15,1.6,3.35,1.23,1.83,1.83,1.26,1.27,1.6
dUmNUlKl,VENEZUELA,Liga FUTVE 2026,VENEZUELA 1,2026,RODADA 5,24/05/2026,18:00,Estudiantes M.,Metropolitanos,,,,,,,2.64,3.02,2.56,3.25,1.96,3.11,1.27,3.0,2.05,1.7,3.05,1.27,1.83,1.83,1.4,1.3,1.36
lfVe9u5m,FRANCE,Ligue 2 2025-2026,FRANCE 2,2025,FINAL,24/05/2026,12:00,Laval,Rouen,,,,,,,2.1,3.35,3.65,2.77,2.07,4.1,1.33,3.25,1.92,1.78,3.8,1.25,1.75,2.0,1.3,1.31,1.78
l0eAgXCi,CHILE,Primera Division 2026,CHILE 1,2026,RODADA 13,24/05/2026,13:30,Dep. Concepción,Huachipato,,,,,,,2.54,3.0,2.54,3.2,2.08,3.25,1.36,2.8,2.03,1.64,3.7,1.22,1.8,1.9,1.4,1.3,1.38
GjPhg31B,CHILE,Primera Division 2026,CHILE 1,2026,RODADA 13,24/05/2026,16:00,La Serena,Limache,,,,,,,2.25,3.14,2.8,2.9,2.16,3.4,1.23,3.6,1.9,1.74,2.8,1.36,1.75,1.95,1.35,1.27,1.48
dnhSxrHU,CHILE,Primera Division 2026,CHILE 1,2026,RODADA 13,24/05/2026,19:00,Universidad Católica,Colo Colo,,,,,,,2.52,3.25,2.6,3.15,2.15,3.3,1.25,3.6,1.85,1.85,3.3,1.29,1.73,2.02,1.44,1.33,1.5
CWjPcJBG,ECUADOR,Liga Pro 2026,ECUADOR 1,2026,RODADA 15,24/05/2026,15:00,Técnico U.,Leones del Norte,,,,,,,1.6,3.14,5.33,2.25,2.0,6.0,1.47,2.3,2.12,1.55,4.5,1.17,2.4,1.5,1.13,1.23,1.9
rJDduBek,ECUADOR,Liga Pro 2026,ECUADOR 1,2026,RODADA 15,24/05/2026,17:30,Emelec,Macara,,,,,,,2.05,3.1,3.4,2.88,2.0,4.33,1.4,2.72,2.25,1.58,4.1,1.2,2.0,1.73,1.3,1.36,1.7
0x7n1X0B,ECUADOR,Liga Pro 2026,ECUADOR 1,2026,RODADA 15,24/05/2026,20:10,Delfin,Barcelona,,,,,,,2.6,3.05,2.6,3.33,1.96,3.33,1.44,2.6,2.4,1.5,4.8,1.14,1.97,1.66,1.39,1.31,1.39
MoCvAee3,CHINA,Super League 2026,CHINA 1,2026,RODADA 14,24/05/2026,06:00,Qingdao Hainiu,Chongqing Tonglianglong,,,,,,,2.28,2.9,2.9,2.9,2.05,3.6,1.38,2.82,2.12,1.65,3.6,1.24,1.83,1.83,1.3,1.3,1.45
