id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
SSnZtcRG,CHINA,Super League 2026,CHINA 1,2026,RODADA 13,20/05/2026,08:00,Liaoning Tieren,Qingdao Hainiu,2.0,1.0,1.0,0.0,"[34, 81]",[57],1.87,3.6,3.14,2.5,2.25,3.75,1.23,3.75,1.73,1.92,2.9,1.36,1.66,2.1,1.25,1.22,1.66
zgjsuydT,CHINA,Super League 2026,CHINA 1,2026,RODADA 13,20/05/2026,08:35,Shanghai Shenhua,Wuhan Three Towns,2.0,2.0,2.0,1.0,"[7, 37]","[44, 74]",1.3,5.5,7.5,1.69,2.75,6.0,1.11,5.5,1.44,2.6,2.06,1.63,1.66,2.1,1.09,1.11,2.75
48tDZEJj,CHINA,Super League 2026,CHINA 1,2026,RODADA 13,20/05/2026,09:00,Chongqing Tonglianglong,Yunnan Yukun,0.0,0.0,0.0,0.0,[],[],2.25,3.25,3.1,2.88,2.0,3.6,1.27,3.25,1.99,1.68,3.1,1.3,1.87,1.9,1.33,1.3,1.62
d2TbcIBc,CHINA,Super League 2026,CHINA 1,2026,RODADA 13,20/05/2026,09:00,Zhejiang Professional,Shandong Taishan,4.0,1.0,0.0,1.0,"[60, 64, 73, 90+5]",[1],2.57,3.2,2.33,3.1,2.3,2.83,1.13,5.2,1.5,2.4,2.4,1.5,1.5,2.4,1.44,1.26,1.35
KEfiPmWg,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Åsane,Sandnes,2.0,0.0,1.0,0.0,"[45+1, 90+7]",[],2.65,3.35,2.47,3.05,2.35,2.95,1.11,5.5,1.5,2.4,2.25,1.57,1.53,2.35,1.53,1.3,1.47
dbvxXvY2,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Egersunds,Lyn,0.0,0.0,0.0,0.0,[],[],1.71,3.66,3.66,2.2,2.4,4.0,1.14,5.5,1.5,2.36,2.2,1.52,1.5,2.4,1.22,1.2,1.76
UBxpVI2F,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Kongsvinger,Odd Grenland,4.0,2.0,0.0,1.0,"[56, 68, 73, 88]","[31, 86]",2.16,3.75,2.62,2.6,2.42,3.0,1.11,5.5,1.45,2.6,2.1,1.67,1.38,2.4,1.36,1.23,1.52
nmHACAnl,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Moss,Strömsgodset,1.0,1.0,1.0,0.0,[12],[68],3.65,4.0,1.73,3.7,2.55,2.2,1.08,6.5,1.4,2.75,2.0,1.73,1.4,2.6,2.0,1.17,1.2
fDKIAlH0,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Ranheim,Hødd,3.0,2.0,0.0,1.0,"[50, 58, 84]","[21, 70]",1.52,4.0,4.5,1.96,2.42,5.0,1.17,4.2,1.55,2.14,2.37,1.5,1.66,2.1,1.13,1.17,2.05
GS8R8SoD,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Raufoss,Bryne,3.0,0.0,1.0,0.0,"[38, 87, 90+4]",[],2.8,3.35,2.16,3.25,2.21,2.65,1.17,4.5,1.6,2.2,2.6,1.44,1.54,2.23,1.48,1.24,1.31
rZ0DWVwK,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Sogndal,Stabaek,2.0,2.0,2.0,1.0,"[3, 7]","[39, 54]",3.0,3.55,2.15,3.25,2.57,2.55,1.11,5.5,1.5,2.4,2.25,1.57,1.37,2.85,1.62,1.27,1.44
n1dqR91s,NORWAY,Obos-Ligaen 2026,NORWAY 2,2026,RODADA 8,20/05/2026,14:00,Strømmen,Haugesund,0.0,7.0,0.0,3.0,[],"[12, 15, 27, 46, 67, 72, 75]",3.25,3.66,1.88,3.6,2.36,2.33,1.12,4.7,1.47,2.35,2.28,1.61,1.44,2.22,1.69,1.22,1.26
I3x0KMPH,NETHERLANDS,Eerste Divisie 2025-2026,NETHERLANDS 2,2025,FINAL,20/05/2026,13:45,Willem II,FC Volendam,1.0,2.0,0.0,2.0,[54],"[13, 18]",1.96,3.5,3.39,2.46,2.37,3.82,1.17,4.5,1.62,2.03,2.55,1.45,1.55,2.36,1.27,1.26,1.67
