liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - National League,12:00,York City,Boston United,1.22,5.75,10.0,https://redscores.com/pt-br/match/york-city-boston-united/PAxAB
Inglaterra - National League,12:00,Halifax Town,Altrincham,2.1,3.3,3.2,https://redscores.com/pt-br/match/halifax-town-altrincham/Ufxdj
Irlanda do Norte - Premiership,12:00,Dungannon Swifts,Bangor,1.57,3.75,5.0,https://redscores.com/pt-br/match/dungannon-swifts-bangor/chxg0b
Irlanda do Norte - Premiership,12:00,Ballymena United,Coleraine,5.75,3.9,1.5,https://redscores.com/pt-br/match/ballymena-united-coleraine/8JxQZb
Irlanda do Norte - Premiership,12:00,Carrick Rangers,Larne,4.1,3.7,1.72,https://redscores.com/pt-br/match/carrick-rangers-larne/DKx9fB
Irlanda do Norte - Premiership,12:00,Cliftonville,Crusaders,1.53,4.0,5.25,https://redscores.com/pt-br/match/cliftonville-crusaders/Glx0O
Irlanda do Norte - Premiership,12:00,Linfield,Glentoran,1.85,3.4,3.8,https://redscores.com/pt-br/match/linfield-glentoran/icxhg
Irlanda do Norte - Premiership,12:00,Portadown,Glenavon,1.85,3.5,3.75,https://redscores.com/pt-br/match/glenavon-portadown/inxa0b
País de Gales - Premier League,09:00,Barry Town United,Cardiff MU,1.9,3.4,3.5,https://redscores.com/pt-br/match/barry-town-united-cardiff-mu/bOxLYB
País de Gales - Premier League,11:30,Haverfordwest County,Llanelli Town,1.27,5.5,9.0,https://redscores.com/pt-br/match/haverfordwest-county-llanelli-town/2yBxrgD
País de Gales - Premier League,11:30,Flint Town United,Connah's Quay,4.75,4.0,1.6,https://redscores.com/pt-br/match/connah-s-quay-flint-town-united/GKxHYB
País de Gales - Premier League,11:30,Penybont,Briton Ferry,1.28,5.25,8.0,https://redscores.com/pt-br/match/penybont-briton-ferry/onxrzB
País de Gales - Premier League,11:30,The New Saints,Bala Town,1.08,11.0,19.0,https://redscores.com/pt-br/match/the-new-saints-bala-town/pExgk
